Country,Model,MAE,RMSE,RRSE,MAPE
United States,Facebook Prophet,77545.73007488942,86056.60629790205,0.0,7.295754473634722
Spain,Facebook Prophet,63011.99417319683,65392.52451926915,0.0,103.39612066235067
Italy,Facebook Prophet,23532.63780809681,26763.762283513257,0.0,31.43135526887152
France,Facebook Prophet,24957.743685088015,28288.00768851315,0.0,26.920209051850623
Germany,Facebook Prophet,42594.05948823581,43528.24908085072,0.0,277.55636428033677
Russia,Facebook Prophet,33491.81729313424,35995.81103857058,0.0,18.711431470419214
Turkey,Facebook Prophet,65993.84914163889,69610.3191067297,0.0,165.13279185531476
India,Facebook Prophet,10512.712096008512,11984.974584286492,0.0,21.728199876301186
