Country,Model,MAE,RMSE,RRSE,MAPE
United States,Neural Prophet,5457.682,6455.388,0.482,6.195
Spain,Neural Prophet,2338.175,2638.215,0.84,8.677
Italy,Neural Prophet,2812.654,3635.607,0.803,9.202
France,Neural Prophet,4091.048,4501.195,0.857,15.258
Germany,Neural Prophet,1199.485,1349.369,0.803,15.831
Russia,Neural Prophet,441.328,508.507,0.948,20.199
Turkey,Neural Prophet,437.754,513.99,0.775,11.277
India,Neural Prophet,722.218,819.465,1.061,29.15
