Country,Model,MAE,RMSE,RRSE,MAPE
United States,Neural Prophet,38765.922,39962.42,0.8,17.035
Spain,Neural Prophet,4421.269,7147.124,0.496,3.367
Italy,Neural Prophet,5674.063,6569.884,0.443,5.001
France,Neural Prophet,5695.931,6379.057,0.722,9.938
Germany,Neural Prophet,17578.837,20255.981,0.794,11.864
Russia,Neural Prophet,25877.356,32190.556,1.236,53.754
Turkey,Neural Prophet,5401.117,6147.671,0.279,6.394
India,Neural Prophet,10269.904,13008.89,1.222,36.048
