ds,y
2020-02-01,1
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,1
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,4
2020-02-26,7
2020-02-27,2
2020-02-28,17
2020-02-29,13
2020-03-01,39
2020-03-02,36
2020-03-03,45
2020-03-04,57
2020-03-05,37
2020-03-06,141
2020-03-07,100
2020-03-08,173
2020-03-09,400
2020-03-10,622
2020-03-11,582
2020-03-12,0
2020-03-13,2955
2020-03-14,1159
2020-03-15,1407
2020-03-16,2144
2020-03-17,1806
2020-03-18,2162
2020-03-19,4053
2020-03-20,2447
2020-03-21,4964
2020-03-22,3394
2020-03-23,6368
2020-03-24,4749
2020-03-25,9630
2020-03-26,8271
2020-03-27,7933
2020-03-28,7516
2020-03-29,6875
2020-03-30,7846
2020-03-31,7967
2020-04-01,8195
2020-04-02,7947
2020-04-03,7134
2020-04-04,6969
2020-04-05,5478
2020-04-06,5029
2020-04-07,5267
2020-04-08,6278
2020-04-09,5002
2020-04-10,5051
2020-04-11,4754
2020-04-12,3804
2020-04-13,3268
2020-04-14,2442
2020-04-15,5103
2020-04-16,7304
2020-04-17,5891
2020-04-18,887
2020-04-19,6948
2020-04-20,1536
2020-04-21,3968
2020-04-22,4211
2020-04-23,4635
2020-04-25,2915
2020-04-26,1729
2020-04-27,1831
2020-04-28,1308
2020-04-29,2144
2020-04-30,518
2020-05-01,1781
2020-05-02,1366
2020-05-03,884
2020-05-04,545
2020-05-05,1318
2020-05-06,996
2020-05-07,1122
2020-05-08,1410
2020-05-09,721
2020-05-10,772
2020-05-11,3086
2020-05-12,594
2020-05-13,661
2020-05-14,849
2020-05-15,643
2020-05-16,515
2020-05-17,0
2020-05-18,908
2020-05-19,431
2020-05-20,518
2020-05-21,482
2020-05-22,1787
2020-05-23,466
2020-05-24,482
2020-05-26,859
2020-05-27,0
2020-05-28,1647
2020-05-29,658
2020-05-30,664
2020-05-31,251
2020-06-01,159
2020-06-02,294
2020-06-03,394
2020-06-04,334
2020-06-05,318
2020-06-06,332
2020-06-07,240
2020-06-08,167
2020-06-09,249
2020-06-10,314
2020-06-11,427
2020-06-12,502
2020-06-13,396
2020-06-14,323
2020-06-15,181
2020-06-16,219
2020-06-17,355
2020-06-18,585
2020-06-19,307
2020-06-20,363
2020-06-21,334
2020-06-22,232
2020-06-23,248
2020-06-24,334
2020-06-25,400
2020-06-26,419
2020-06-27,564
2020-06-28,301
2020-06-29,200
2020-06-30,301
2020-07-01,388
2020-07-02,444
2020-07-03,442
2020-07-04,0
2020-07-05,0
2020-07-06,1244
2020-07-07,341
2020-07-08,383
2020-07-09,543
2020-07-10,852
2020-07-11,0
2020-07-12,0
2020-07-13,2045
2020-07-14,666
2020-07-15,875
2020-07-16,1361
2020-07-17,1400
2020-07-18,0
2020-07-19,0
2020-07-20,4581
2020-07-21,1358
2020-07-22,1357
2020-07-23,2615
2020-07-24,2255
2020-07-25,0
2020-07-26,0
2020-07-27,6361
2020-07-28,1828
2020-07-29,2031
2020-07-30,2789
2020-07-31,3092
2020-08-01,0
2020-08-02,0
2020-08-03,8532
2020-08-04,5760
2020-08-05,2953
2020-08-06,4088
2020-08-07,4507
2020-08-08,0
2020-08-09,0
2020-08-10,8618
2020-08-11,3632
2020-08-12,3172
2020-08-13,7550
2020-08-14,5479
2020-08-15,0
2020-08-16,0
2020-08-17,16269
2020-08-18,5114
2020-08-19,6671
2020-08-20,7039
2020-08-21,8148
2020-08-22,0
2020-08-23,0
2020-08-24,19382
2020-08-25,7117
2020-08-26,7296
2020-08-27,9658
2020-08-28,9779
2020-08-29,0
2020-08-30,0
2020-08-31,23572
2020-09-01,8115
2020-09-02,8581
2020-09-03,8959
2020-09-04,10476
2020-09-05,0
2020-09-06,0
2020-09-07,26560
2020-09-08,8964
2020-09-09,8866
2020-09-10,10764
2020-09-11,12183
2020-09-12,0
2020-09-13,0
2020-09-14,27404
2020-09-15,9437
2020-09-16,11193
2020-09-17,11291
2020-09-18,14389
2020-09-19,0
2020-09-20,0
2020-09-21,31428
2020-09-22,10799
2020-09-23,11289
2020-09-24,10653
2020-09-25,12272
2020-09-26,0
2020-09-27,0
2020-09-28,31785
2020-09-29,0
2020-09-30,20922
2020-10-01,9419
2020-10-02,11325
2020-10-03,0
2020-10-04,0
2020-10-05,23480
2020-10-06,11998
2020-10-07,10491
2020-10-08,12423
2020-10-09,12788
2020-10-10,0
2020-10-11,0
2020-10-12,27856
2020-10-13,7118
2020-10-14,11970
2020-10-15,13318
2020-10-16,15186
2020-10-17,0
2020-10-18,0
2020-10-19,37889
2020-10-20,13873
2020-10-21,16973
2020-10-22,20986
2020-10-23,19851
2020-10-24,0
2020-10-25,0
2020-10-26,52188
2020-10-27,18418
2020-10-28,19765
2020-10-29,23580
2020-10-30,25595
2020-10-31,0
2020-11-01,0
2020-11-02,55019
2020-11-03,18669
2020-11-04,25042
2020-11-05,21908
2020-11-06,22516
2020-11-07,0
2020-11-08,0
2020-11-09,52386
2020-11-10,0
2020-11-11,36491
2020-11-12,19511
2020-11-13,21371
2020-11-14,0
2020-11-15,0
2020-11-16,38273
2020-11-17,13159
2020-11-18,15318
2020-11-19,16233
2020-11-20,15156
2020-11-21,0
